CustomerID,Name,Age,Gender,AccountBalance,AccountType,AccountOpenDate,Email
1.0,John Doe,45.0,Male,5000.0,Savings,2010-06-15,john.doe@example.com
2.0,Jane Smith,39.007712418300656,Female,7000.0,Unknown,2012-08-24,jane.smith@sample.com
3.0,Jim Brown,32.0,Male,12000.0,Unknown,2015-09-12,unknown@email.com
4.0,Alice Green,28.0,Female,8500.0,Savings,0000-00-00,alice.green@example.com
6.0,Paul White,40.0,Male,10000.0,Unknown,2020-12-01,paul.white@example.com
7.0,John Doe,39.007712418300656,Male,5000.0,Savings,2010-06-15,john.doe@example.com
8.0,Jane Smith,39.007712418300656,Female,7000.0,Unknown,2012-08-24,jane.smith@sample.com
9.0,Jim Brown,32.0,Male,12000.0,Unknown,0000-00-00,unknown@email.com
NA,Alice Green,28.0,Female,8500.0,Savings,0000-00-00,alice.green@example.com
12.0,Paul White,39.007712418300656,Male,10000.0,Unknown,2020-12-01,unknown@email.com
14.0,Jane Smith,39.007712418300656,Female,7000.0,Unknown,2012-08-24,jane.smith@sample.com
15.0,Jim Brown,32.0,Male,12000.0,Unknown,2015-09-12,unknown@email.com
16.0,Alice Green,28.0,Female,8500.0,Savings,0000-00-00,alice.green@example.com
18.0,Paul White,39.007712418300656,Male,10000.0,Unknown,2020-12-01,paul.white@example.com
20.0,Jane Smith,39.007712418300656,Female,7000.0,Checking,2012-08-24,jane.smith@sample.com
21.0,Jim Brown,32.0,Male,0.0,Unknown,2015-09-12,unknown@email.com
22.0,Alice Green,39.007712418300656,Male,8500.0,Savings,0000-00-00,alice.green@example.com
24.0,Paul White,40.0,Male,10000.0,Unknown,2020-12-01,paul.white@example.com
26.0,Jane Smith,39.007712418300656,Female,7000.0,Checking,2012-08-24,jane.smith@sample.com
28.0,Alice Green,28.0,Female,8500.0,Unknown,0000-00-00,unknown@email.com
30.0,Paul White,40.0,Male,10000.0,Unknown,2020-12-01,paul.white@example.com
